Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Outdoor Walking","2020-04-24 18:33","2020-04-24 18:55","0:22:05","2.512979613492731","139.8338458465913","143.55053855880087","0:08:47","6.826729566372265","179.56799999999996","218.57099999999997","28.91",,"20.000000000000057","37"
"Traditional Strength Training","2020-04-23 13:14","2020-04-23 13:57","0:43:37",,"98.75971348686029","112.15194817751136",,,"227.75400000000016","317.4530000000002",,,"18.33333333333337","49"
"Core Training","2020-04-22 20:12","2020-04-22 20:20","0:07:50",,"106.95639714536904","106.95639714536904",,,"39.5","73.815",,,"14.444444444444457","49"
"Traditional Strength Training","2020-04-22 19:47","2020-04-22 20:12","0:25:12",,"96.98990031640902","97.8775991983761",,,"112.52000000000002","163.75000000000009",,,"15.5555555555556","47"
"Outdoor Walking","2020-04-22 19:29","2020-04-22 19:43","0:14:00","1.0965067312265746","117.22527027569532","120.54648121846881","0:12:46","4.69374118602981","97.32999999999996","122.23199999999997","14.9",,"16.111111111111143","45"
"Core Training","2020-04-21 20:36","2020-04-21 20:47","0:11:25",,"100.62869775396686","100.62869775396686",,,"52.98100000000004","95.45000000000005",,,"11.666666666666686","54"
"Outdoor Walking","2020-04-21 20:05","2020-04-21 20:32","0:26:33","2.479700952201616","122.7431821791309","125.89337968445582","0:10:42","5.603142367599486","174.251","221.12800000000004","21.72",,"12.777777777777828","50"
"Traditional Strength Training","2020-04-20 18:14","2020-04-20 18:36","0:22:09",,"95.49477045010914","101.05628801398552",,,"99.47100000000009","161.4920000000001",,,"13.888888888888914","40"
"Outdoor Walking","2020-04-20 17:01","2020-04-20 17:26","0:25:10","2.5113248593811877","112.18503880811082","114.7403718459495","0:10:01","5.984544593545199","148.1740000000001","216.26900000000012","31.36",,,
"Core Training","2020-04-19 23:00","2020-04-19 23:09","0:09:02",,"91.57764752592512","91.57764752592512",,,"43.085000000000036","65.27100000000006",,,"7.222222222222285","54"
"Outdoor Running","2020-04-19 16:06","2020-04-19 16:25","0:19:32","2.7473616085238755","168.73706437302366","170.50470428561567","0:07:06","8.435226286615356","195.56900000000002","230.14800000000002","24.87",,,
"Traditional Strength Training","2020-04-18 18:23","2020-04-18 18:58","0:35:19",,"117.11908185506837","122.19309966547851",,,"230.62500000000009","314.7230000000001",,,"9.444444444444457","74"
"Outdoor Walking","2020-04-18 17:51","2020-04-18 18:18","0:26:23","2.4981892482042314","123.51342375697152","126.84977578475339","0:10:34","5.678055492715893","145.08399999999997","191.662","23.91",,"9.444444444444457","74"
"Traditional Strength Training","2020-04-17 18:01","2020-04-17 18:40","0:39:02",,"86.40780971930246","94.13366312386736",,,"177.24500000000015","264.3530000000002",,,"13.333333333333371","52"
"Core Training","2020-04-16 20:58","2020-04-16 21:10","0:12:02",,"92.39842178033066","92.39842178033066",,,"54.425","82.19400000000002",,,"13.333333333333371","45"
"Traditional Strength Training","2020-04-16 16:59","2020-04-16 17:31","0:31:56",,"104.91164747194962","115.49472729334396",,,"171.1310000000001","247.02100000000016",,,"20.000000000000057","31"
"Core Training","2020-04-15 20:51","2020-04-15 20:59","0:08:32",,"91.42695128149276","91.42695128149276",,,"38.44900000000003","57.86100000000005",,,"12.777777777777828","49"
"Traditional Strength Training","2020-04-15 17:15","2020-04-15 17:48","0:32:24",,"87.39285068840633","92.48350634979184",,,"152.3310000000001","227.73700000000014",,,"17.77777777777783","37"
"Core Training","2020-04-14 21:04","2020-04-14 21:11","0:07:24",,"87.26633668956147","87.26633668956147",,,"32.17800000000001","60.085000000000015",,,"7.777777777777828","63"
"Traditional Strength Training","2020-04-14 14:57","2020-04-14 15:37","0:40:02",,"84.95644627409676","90.75854826679232",,,"176.36800000000005","269.5370000000001",,,"12.777777777777828","46"
"Outdoor Walking","2020-04-13 14:53","2020-04-13 15:19","0:26:49","2.6569528501019812","116.45534068437087","123.78060017997618","0:10:05","5.941050629142173","192.83600000000007","265.33100000000013","35.72",,"11.111111111111143","47"
"Core Training","2020-04-13 14:37","2020-04-13 14:46","0:09:01",,"94.29182026118141","94.29182026118141",,,"39.61300000000003","55.17400000000005",,,"11.111111111111143","46"
"Traditional Strength Training","2020-04-12 16:12","2020-04-12 16:42","0:29:52",,"118.37137661642748","126.28363845985655",,,"196.15800000000004","265.44700000000006",,,"18.888888888888914","63"
"Core Training","2020-04-11 21:42","2020-04-11 21:58","0:16:53",,"108.80631633374583","112.44776682290824",,,"87.75000000000004","135.51000000000005",,,"12.222222222222285","83"
"Traditional Strength Training","2020-04-11 21:06","2020-04-11 21:39","0:33:21",,"111.8679881520879","119.80408669539108",,,"182.71400000000006","239.34000000000012",,,"12.222222222222285","81"
"Traditional Strength Training","2020-04-10 15:55","2020-04-10 16:32","0:37:31",,"98.68227534143023","102.73346260182214",,,"176.12000000000006","263.4450000000001",,,"21.666666666666686","50"
"Outdoor Walking","2020-04-10 15:26","2020-04-10 15:50","0:24:15","2.5031626270087437","121.21604858538313","122.65824796039583","0:09:41","6.192963986297473","188.505","231.33300000000003","26.740000000000002",,"21.666666666666686","50"
"Core Training","2020-04-09 22:25","2020-04-09 22:33","0:08:17",,"90.14442579786466","90.14442579786466",,,"36.259000000000015","68.43100000000003",,,"11.666666666666686","79"
"Outdoor Running","2020-04-09 15:15","2020-04-09 15:35","0:19:42","2.758679615384899","158.0699649555159","159.66368556714036","0:07:08","8.395808091401339","199.72999999999996","252.875","23.37",,"19.444444444444457","55"
"Traditional Strength Training","2020-04-08 19:37","2020-04-08 19:59","0:21:43",,"102.22120575328736","105.39061009762294",,,"116.33600000000004","176.4050000000001",,,"16.111111111111143","56"
"Outdoor Walking","2020-04-08 14:26","2020-04-08 14:52","0:25:32","2.5189692183856285","114.95973768286426","119.24000000000002","0:10:08","5.917107093911127","161.436","227.27300000000002","20.85",,"20.5555555555556","43"
"Traditional Strength Training","2020-04-07 16:58","2020-04-07 17:33","0:35:18",,"88.92791426018321","93.98966664790304",,,"158.2150000000001","243.66400000000013",,,"16.666666666666686","46"
"Outdoor Running","2020-04-07 08:45","2020-04-07 09:07","0:22:04","2.7082561422898435","150.66427980514754","155.30962186541043","0:08:08","7.363693771398653","209.78399999999996","268.62","26.900000000000002",,"6.111111111111143","83"
"Traditional Strength Training","2020-04-06 19:00","2020-04-06 19:29","0:28:57",,"110.40334022147299","115.68180866157014",,,"159.76700000000008","230.40600000000012",,,"12.777777777777828","53"
"Outdoor Walking","2020-04-06 14:22","2020-04-06 14:43","0:21:03","2.4778982736370527","134.60722162474917","145.61025307640253","0:08:30","7.057975750672009","170.04","212.29399999999998","19.12",,"14.444444444444457","52"
"Core Training","2020-04-05 21:35","2020-04-05 21:43","0:07:30",,"113.83059103011747","113.83059103011747",,,"40.55300000000001","54.00300000000003",,,"16.111111111111143","54"
"Outdoor Running","2020-04-05 15:31","2020-04-05 15:53","0:21:55","2.7017514812056906","154.2507880255509","157.61046897306187","0:08:06","7.394019713712988","212.97699999999998","272.568","29.12",,"19.444444444444457","38"
"Core Training","2020-04-04 23:11","2020-04-04 23:18","0:07:15",,"93.92422335018047","93.92422335018047",,,"31.29200000000001","47.71000000000002",,,"8.888888888888914","68"
"Outdoor Walking","2020-04-04 16:40","2020-04-04 17:00","0:20:30","2.4202915035894383","142.50340290792798","151.3187805168512","0:08:28","7.0802933002466375","188.3800000000001","248.89100000000013","25.03",,"12.777777777777828","64"
"Core Training","2020-04-03 21:31","2020-04-03 21:40","0:08:30",,"97.05388956237555","97.05388956237555",,,"36.728000000000016","55.369000000000035",,,"8.333333333333371","70"
"Outdoor Running","2020-04-03 14:10","2020-04-03 14:30","0:20:00","2.6696509360810743","155.99080478594527","157.3320043124559","0:07:29","8.005314732910419","203.33299999999994","239.03899999999996","26.39",,"11.111111111111143","56"
"Traditional Strength Training","2020-04-02 15:49","2020-04-02 16:36","0:46:57",,"100.81273848471753","105.04463125534812",,,"231.47700000000017","335.55700000000024",,,"11.666666666666686","67"
"Indoor Walking","2020-04-02 15:19","2020-04-02 15:43","0:23:39","2.3100428354972973","128.42149174374052","132.41294642857144","0:10:14","5.857290294036944","161.98899999999995","203.69099999999997",,,"11.666666666666686","69"
"Traditional Strength Training","2020-04-01 17:14","2020-04-01 17:46","0:32:04",,"117.65447970980102","124.7373886550225",,,"210.68100000000004","292.422",,,"8.333333333333371","72"
"Outdoor Running","2020-04-01 13:25","2020-04-01 13:46","0:21:25","2.7253819561516868","152.0871090741943","157.1276439913283","0:07:51","7.632292302983585","206.23999999999998","245.74499999999998","22.43",,"7.777777777777828","67"
"Traditional Strength Training","2020-03-31 13:54","2020-03-31 14:24","0:30:26",,"102.66287294016244","103.06087421726907",,,"144.099","222.56599999999997",,,"8.333333333333371","64"
"Outdoor Walking","2020-03-31 13:25","2020-03-31 13:51","0:25:53","2.5007607837676495","113.63891887871074","115.08297028397514","0:10:21","5.795511584046852","154.145","201.039","24.86",,"8.888888888888914","63"
"Traditional Strength Training","2020-03-30 18:55","2020-03-30 19:27","0:32:22",,"108.57076789346587","112.80588879023767",,,"180.84100000000004","262.91400000000004",,,"8.888888888888914","60"
"Outdoor Running","2020-03-30 13:35","2020-03-30 13:55","0:20:02","2.7292331964089533","164.7823256614475","171.10602193419743","0:07:20","8.167805802596204","207.918","250.78300000000002","24.3",,"9.444444444444457","61"
"Traditional Strength Training","2020-03-28 16:33","2020-03-28 17:00","0:27:31",,"125.170914829536","129.05809229331072",,,"212.19899999999998","276.381",,,"8.888888888888914","55"
"Outdoor Running","2020-03-28 15:45","2020-03-28 16:05","0:19:40","2.703784532018937","159.72964673075694","162.87676056338026","0:07:16","8.242525880645298","194.58000000000004","249.59600000000003","20.66",,"9.444444444444457","52"
"Traditional Strength Training","2020-03-26 20:27","2020-03-26 21:31","1:04:12",,"103.12172312742761","113.35759828885723",,,"342.01700000000017","475.9420000000002",,,"7.777777777777828","57"
"Outdoor Running","2020-03-26 13:11","2020-03-26 13:32","0:20:37","2.692132389337756","158.67406624448364","159.20730970415715","0:07:39","7.829097368778832","195.59799999999998","233.40699999999998","25.11",,"15.5555555555556","28"
"Traditional Strength Training","2020-03-25 14:01","2020-03-25 14:32","0:30:57",,"117.11365141259583","123.8779533173816",,,"207.67000000000002","285.394",,,"17.222222222222285","39"
"Outdoor Walking","2020-03-25 13:31","2020-03-25 13:58","0:27:13","2.6894122329712844","126.58047657453915","131.8684210526316","0:10:07","5.9276592357701245","154.15800000000007","203.51600000000005","24.69",,"16.666666666666686","41"
"Traditional Strength Training","2020-03-24 13:27","2020-03-24 13:57","0:29:34",,"121.7490669990887","125.8893522379761",,,"199.156","270.99",,,"16.111111111111143","59"
"Outdoor Running","2020-03-24 12:47","2020-03-24 13:10","0:23:04","2.856916466358118","152.55088094111085","159.61862405230968","0:08:04","7.428362004047656","204.51300000000006","272.18700000000007","28.79",,"15.5555555555556","58"
"Outdoor Running","2020-03-22 12:15","2020-03-22 12:37","0:21:56","2.8254995231512003","159.17763124070953","162.38015267175578","0:07:45","7.725444491856233","209.59400000000005","269.7950000000001","28.37",,"9.444444444444457","52"
"Outdoor Walking","2020-03-21 19:23","2020-03-21 19:56","0:33:07","2.9247161371577532","107.88965978393242","115.22216899436198","0:11:19","5.29860208296616","179.30400000000003","261.603","29.91",,"4.444444444444457","65"
"Traditional Strength Training","2020-03-20 11:13","2020-03-20 11:41","0:28:10",,"118.26863301705708","121.94965144084625",,,"190.28299999999996","266.65",,,"8.888888888888914","57"
"Elliptical","2020-03-20 10:50","2020-03-20 11:13","0:23:21",,"135.24286444854673","147.4002070005965",,,"245.74399999999997","296.77899999999994",,,"8.333333333333371","61"
"Traditional Strength Training","2020-03-19 14:29","2020-03-19 15:13","0:43:52",,"120.97309753443118","123.92547119723918",,,"327.79300000000006","432.0690000000001",,,"10.000000000000057","47"
"Indoor Walking","2020-03-19 14:06","2020-03-19 14:29","0:23:08","1.146795481732115","131.09345834410564","143.81826537028974","0:20:11","2.972613797863693","183.93799999999996","234.75699999999995",,,"10.000000000000057","47"
"Traditional Strength Training","2020-03-18 15:19","2020-03-18 15:54","0:34:47",,"134.81145039396904","140.33056363124825",,,"338.63000000000005","424.81100000000004",,,"7.222222222222285","78"
"Elliptical","2020-03-18 14:56","2020-03-18 15:19","0:23:02",,"146.87323057516917","152.7835480087463",,,"262.354","312.989",,,"7.222222222222285","78"
"Traditional Strength Training","2020-03-17 13:55","2020-03-17 14:28","0:32:48",,"132.9001457462758","137.58486792950382",,,"311.57800000000015","371.0870000000001",,,"15.000000000000057","66"
"Indoor Walking","2020-03-17 13:29","2020-03-17 13:55","0:25:47","1.148385380968917","135.7257559480579","145.54621878503875","0:22:27","2.6713421441814766","187.10299999999998","242.69699999999995",,,"14.444444444444457","66"
"Traditional Strength Training","2020-03-16 12:33","2020-03-16 13:08","0:34:42",,"139.49232606235546","141.44933898270554",,,"361.32799999999986","449.53299999999984",,,"10.5555555555556","57"
"Elliptical","2020-03-16 12:09","2020-03-16 12:33","0:23:16",,"154.554583534157","160.57108186428403",,,"264.8210000000001","315.94900000000007",,,"10.000000000000057","57"
"Traditional Strength Training","2020-03-12 16:56","2020-03-12 17:34","0:38:20",,"110.13800879724566","123.44443655831125",,,"251.58100000000005","320.3",,,"8.333333333333371","64"
"Indoor Walking","2020-03-12 16:33","2020-03-12 16:56","0:22:31","1.145456977114547","127.35228486015444","138.67209632982073","0:19:39","3.050959953584878","192.5879999999999","242.04599999999988",,,"8.333333333333371","64"
"Traditional Strength Training","2020-03-11 17:02","2020-03-11 17:45","0:42:45",,"146.22880126657412","155.618896749273",,,"486.1520000000001","563.647",,,"10.5555555555556","69"
"Elliptical","2020-03-11 16:37","2020-03-11 17:02","0:25:30",,"137.22964773542495","143.93141268771893",,,"254.92000000000002","309.975",,,"10.5555555555556","69"
"Traditional Strength Training","2020-03-10 16:53","2020-03-10 17:35","0:41:56",,"137.14300616013452","142.9435681977332",,,"401.5200000000001","503.34900000000005",,,"12.222222222222285","68"
"Indoor Walking","2020-03-10 16:31","2020-03-10 16:53","0:22:11","1.0807730794860981","124.73270568284671","134.76397950827263","0:20:31","2.9226134192643305","164.79299999999998","213.84199999999996",,,"12.222222222222285","68"
"Traditional Strength Training","2020-03-09 16:52","2020-03-09 17:51","0:59:13",,"120.05966607739552","135.5352596080936",,,"455.82800000000015","562.2580000000002",,,"6.111111111111143","93"
"Elliptical","2020-03-09 16:31","2020-03-09 16:52","0:21:08",,"154.4657987497653","159.04561614057332",,,"255.30600000000004","302.584",,,"6.111111111111143","93"
"Traditional Strength Training","2020-03-07 14:18","2020-03-07 15:16","0:58:35",,"144.16557588546297","156.27048556546336",,,"659.154","786.2589999999999",,,"12.222222222222285","77"
"Elliptical","2020-03-07 13:53","2020-03-07 14:18","0:24:21",,"155.94765628106444","158.70935492329878",,,"256.24800000000005","309.30100000000004",,,"12.222222222222285","76"
"Traditional Strength Training","2020-03-05 11:23","2020-03-05 12:00","0:36:46",,"136.06413136088645","141.9903471273391",,,"356.45000000000005","446.08900000000006",,,"6.111111111111143","75"
"Indoor Cycling","2020-03-05 11:15","2020-03-05 11:23","0:07:48",,"134.43890259034023","134.43890259034023",,,"71.74100000000001","94.834",,,"6.111111111111143","77"
"Traditional Strength Training","2020-03-04 12:32","2020-03-04 13:05","0:33:44",,"120.045251283777","128.85963946999033",,,"243.081","329.455",,,"6.666666666666686","79"
"Indoor Walking","2020-03-04 12:09","2020-03-04 12:32","0:22:41","1.1169382830201648","131.7614444587618","142.92353610552183","0:20:18","2.954256856530296","178.27100000000002","228.22",,,"6.666666666666686","81"
"Traditional Strength Training","2020-03-03 14:47","2020-03-03 15:25","0:37:44",,"138.99073541372132","147.45243562231758",,,"414.53","507.50299999999993",,,"7.777777777777828","77"
"Elliptical","2020-03-03 14:24","2020-03-03 14:47","0:23:36",,"143.96909672461587","146.74773853452817",,,"311.863","363.50699999999995",,,"7.222222222222285","79"
"Traditional Strength Training","2020-03-02 15:19","2020-03-02 15:40","0:20:50",,"121.52047192668314","123.73918963286268",,,"154.36600000000004","214.79600000000002",,,"7.222222222222285","59"
"Indoor Walking","2020-03-02 14:54","2020-03-02 15:19","0:24:54","1.0439046834120527","127.7717933078156","142.8653482573559","0:23:51","2.514471800954058","177.70099999999996","231.75999999999993",,,"7.222222222222285","62"
"Traditional Strength Training","2020-03-01 11:50","2020-03-01 12:42","0:51:55",,"122.75460395895203","130.47955697795672",,,"390.47499999999997","484.32899999999995",,,"7.777777777777828","58"
"Traditional Strength Training","2020-02-29 11:29","2020-02-29 12:15","0:45:54",,"141.46506590746446","149.47906966989635",,,"493.44000000000005","601.937",,,"6.666666666666686","60"
"Elliptical","2020-02-29 11:02","2020-02-29 11:29","0:27:48",,"156.73564253540488","162.5712306348764",,,"307.88999999999993","367.1019999999999",,,"6.111111111111143","64"
"Traditional Strength Training","2020-02-27 17:08","2020-02-27 17:33","0:25:18",,"121.81413656400714","125.9360952881318",,,"185.95100000000005","254.95200000000006",,,"5.5555555555556","71"
"Elliptical","2020-02-27 16:44","2020-02-27 17:08","0:23:27",,"145.83124266893944","157.630918820775",,,"258.206","309.54200000000003",,,"5.5555555555556","69"
"Traditional Strength Training","2020-02-25 16:59","2020-02-25 17:57","0:57:43",,"136.47703529035076","148.75719238406674",,,"555.2889999999999","659.7369999999999",,,"5.000000000000057","79"
"Indoor Walking","2020-02-25 16:34","2020-02-25 16:59","0:25:17","1.1477586740241386","129.33780565157994","140.1877354064629","0:22:02","2.72279322007161","178.185","233.396",,,"5.5555555555556","73"
"Traditional Strength Training","2020-02-24 17:00","2020-02-24 17:35","0:34:42",,"132.62008332939612","139.8144946531852",,,"340.644","431.348",,,"8.333333333333371","77"
"Elliptical","2020-02-24 16:37","2020-02-24 17:00","0:22:32",,"150.66420338167617","163.06977560589357",,,"265.22100000000006","316.2610000000001",,,"8.888888888888914","77"
"Traditional Strength Training","2020-02-22 19:37","2020-02-22 20:13","0:36:12",,"147.1570243145883","149.09776243585648",,,"422.29300000000006","516.0190000000001",,,"6.666666666666686","83"
"Elliptical","2020-02-22 19:14","2020-02-22 19:37","0:22:41",,"165.18002726229443","174.35062351399884",,,"261.42399999999986","312.6989999999999",,,"6.111111111111143","85"
"Traditional Strength Training","2020-02-20 16:50","2020-02-20 17:12","0:22:08",,"109.25012892244649","111.40356617076992",,,"118.38700000000009","185.41900000000012",,,"5.5555555555556","68"
"Indoor Walking","2020-02-20 16:37","2020-02-20 16:50","0:12:34","0.38761329305544495","122.5131992670921","125.58152173913041",,"1.8493116963910565","105.70799999999996","138.08399999999995",,,"5.5555555555556","69"
"Traditional Strength Training","2020-02-18 17:16","2020-02-18 17:35","0:19:09",,"117.91670236129158","127.1708804153396",,,"134.038","195.711",,,"6.111111111111143","81"
"Elliptical","2020-02-18 16:53","2020-02-18 17:16","0:23:29",,"138.09054290775057","146.43363852556473",,,"264.1069999999999","316.73099999999994",,,"6.111111111111143","83"
"Traditional Strength Training","2020-02-17 17:03","2020-02-17 17:45","0:41:22",,"119.82551202425861","131.0377636640852",,,"322.81500000000017","425.94200000000023",,,"6.666666666666686","76"
"Indoor Walking","2020-02-17 16:41","2020-02-17 17:03","0:22:21","1.1188024746547454","130.65102057349182","140.118741837179","0:19:59","3.0019649360422194","180.88499999999988","231.5359999999999",,,"7.222222222222285","72"
"Traditional Strength Training","2020-02-15 11:35","2020-02-15 12:08","0:32:47",,"140.35364594420284","149.20882577238748",,,"359.4090000000001","420.3340000000001",,,"11.111111111111143","95"
"Elliptical","2020-02-15 11:11","2020-02-15 11:35","0:24:00",,"164.3129471267639","171.8197097281094",,,"293.901","347.62100000000004",,,"11.111111111111143","96"
"Traditional Strength Training","2020-02-13 17:03","2020-02-13 17:44","0:40:14",,"113.14554643762608","125.41783721377718",,,"278.901","353.596",,,"6.666666666666686","86"
"Elliptical","2020-02-13 16:53","2020-02-13 17:03","0:10:05",,"144.13436883071012","144.13436883071012",,,"116.89900000000003","145.09200000000004",,,"6.666666666666686","86"
"Traditional Strength Training","2020-02-12 16:45","2020-02-12 17:16","0:31:01",,"123.20157098542234","135.27004678191585",,,"275.79200000000003","358.2950000000001",,,"6.111111111111143","64"
"Indoor Walking","2020-02-12 16:22","2020-02-12 16:45","0:23:37","1.0916762838228606","135.0316403372228","147.78839857479895","0:21:38","2.7725347170995196","178.89299999999997","231.98499999999999",,,"6.666666666666686","61"
"Traditional Strength Training","2020-02-11 16:51","2020-02-11 17:26","0:34:16",,"135.7260830916234","141.83093852245375",,,"354.34200000000004","437.73100000000005",,,"5.000000000000057","62"
"Elliptical","2020-02-11 16:28","2020-02-11 16:51","0:22:17",,"148.7997623661256","155.05060860025617",,,"256.789","307.353",,,"5.5555555555556","62"
"Traditional Strength Training","2020-02-08 20:18","2020-02-08 20:49","0:31:50",,"131.22192843528845","145.04600738518354",,,"297.3280000000001","378.7050000000001",,,"8.333333333333371","82"
"Indoor Walking","2020-02-08 19:54","2020-02-08 20:18","0:23:43","1.0854570815912448","139.5064070523517","149.06914454849814","0:21:51","2.7448387649743102","203.63299999999995","256.885",,,"8.333333333333371","79"
"Traditional Strength Training","2020-02-06 17:19","2020-02-06 18:11","0:52:12",,"124.34053022211961","137.02353294224704",,,"487.23299999999995","583.636",,,"6.111111111111143","79"
"Indoor Walking","2020-02-06 16:55","2020-02-06 17:19","0:23:44","1.3226332729831338","131.45710521116516","142.86899947036454","0:17:57","3.3418515451677413","208.72799999999995","261.95599999999996",,,"6.666666666666686","78"
"Traditional Strength Training","2020-02-05 16:54","2020-02-05 17:28","0:34:10",,"123.19229980670382","129.92291481588546",,,"280.609","343.515",,,"7.222222222222285","78"
"Elliptical","2020-02-05 16:31","2020-02-05 16:54","0:23:14",,"146.99738524006034","156.30552822675108",,,"267.37600000000003","319.63200000000006",,,"7.222222222222285","77"
"Traditional Strength Training","2020-02-04 16:38","2020-02-04 17:19","0:40:11",,"110.2775354797549","114.11244086771327",,,"233.5690000000001","308.0910000000001",,,"7.777777777777828","86"
"Indoor Walking","2020-02-04 16:20","2020-02-04 16:38","0:17:53","0.7779533857875504","121.94962016928665","128.28668063730774","0:22:59","2.6099541383228373","133.16899999999998","175.819",,,"8.333333333333371","86"
"Traditional Strength Training","2020-02-03 17:07","2020-02-03 17:41","0:33:32",,"128.86767648077287","134.8953206376973",,,"306.836","385.94000000000005",,,"6.111111111111143","74"
"Elliptical","2020-02-03 16:42","2020-02-03 17:07","0:25:01",,"146.6362186359661","153.57436573750786",,,"290.96400000000006","346.46200000000005",,,"6.666666666666686","72"
"Traditional Strength Training","2020-01-30 16:47","2020-01-30 17:32","0:45:00",,"127.16689424297815","131.1502770369821",,,"387.30500000000006","493.3190000000001",,,"11.666666666666686","84"
"Traditional Strength Training","2020-01-29 16:41","2020-01-29 17:20","0:38:37",,"127.32252975017701","130.85805357998305",,,"343.6739999999999","439.6499999999999",,,"8.888888888888914","77"
"Elliptical","2020-01-29 16:17","2020-01-29 16:41","0:24:55",,"149.0546957753256","160.47178623927167",,,"286.827","341.998",,,"8.888888888888914","78"
"Indoor Walking","2020-01-28 16:35","2020-01-28 16:57","0:22:17","1.2191877711713315","124.64531858069518","135.87065597901022","0:18:16","3.28196832219891","185.50699999999995","252.54499999999996",,,"5.000000000000057","84"
"Traditional Strength Training","2020-01-27 17:14","2020-01-27 18:04","0:50:04",,"139.7153835719267","155.1028460793804",,,"559.8770000000001","653.1320000000001",,,"5.5555555555556","86"
"Elliptical","2020-01-27 16:49","2020-01-27 17:14","0:24:17",,"149.39788711531705","156.22341173501275",,,"285.294","340.428",,,"5.5555555555556","83"
"Traditional Strength Training","2020-01-26 15:06","2020-01-26 15:29","0:23:15",,"118.39407456578282","121.77698307960598",,,"162.36500000000007","230.38600000000008",,,"7.222222222222285","92"
"Indoor Walking","2020-01-26 14:53","2020-01-26 15:06","0:12:50","0.5894855824944097","125.80038329417532","127.29488460692033","0:21:47","2.754296050027208","98.58300000000001","131.586",,,"7.777777777777828","94"
"Traditional Strength Training","2020-01-25 17:50","2020-01-25 18:21","0:30:45",,"123.66824511143439","133.28608926219874",,,"252.6030000000001","310.2000000000001",,,"6.111111111111143","93"
"Indoor Cycling","2020-01-25 17:43","2020-01-25 17:50","0:06:57",,"130.59158528715852","130.59158528715852",,,"61.06900000000002","83.27200000000002",,,"6.111111111111143","93"
"Traditional Strength Training","2020-01-24 16:55","2020-01-24 17:36","0:41:17",,"119.08366948421894","124.80382914835552",,,"294.678","396.34900000000005",,,"6.666666666666686","99"
"Indoor Walking","2020-01-24 16:43","2020-01-24 16:55","0:11:18","0.5885576023541426","116.87798938942078","116.87798938942078","0:19:13","3.1216951949122755","87.21099999999997","117.55199999999998",,,"6.666666666666686","98"
"Outdoor Walking","2020-01-24 12:46","2020-01-24 13:01","0:15:16","0.9955954560404643","100.42577308082909","100.99837525038953","0:15:20","3.9104671472005563","70.85200000000002","123.17200000000004","2",,"7.222222222222285","96"
"Traditional Strength Training","2020-01-23 16:55","2020-01-23 17:35","0:39:56",,"126.79340659684789","133.83999295313137",,,"344.5220000000001","442.02800000000013",,,"7.222222222222285","98"
"Elliptical","2020-01-23 16:32","2020-01-23 16:55","0:22:48",,"148.51079199882233","152.83545037430574",,,"263.19399999999996","314.70599999999996",,,"7.222222222222285","97"
"Traditional Strength Training","2020-01-22 15:17","2020-01-22 15:44","0:27:18",,"134.1273969750417","136.43551720222555",,,"271.975","322.932",,,"8.888888888888914","99"
"Elliptical","2020-01-22 14:54","2020-01-22 15:17","0:23:21",,"148.00267517488155","154.92331136541205",,,"266.35200000000003","318.88800000000003",,,"8.888888888888914","99"
"Traditional Strength Training","2020-01-21 17:57","2020-01-21 18:47","0:49:32",,"141.21209896338738","150.86885466965163",,,"524.8230000000001","616.6840000000001",,,"6.666666666666686","100"
"Indoor Walking","2020-01-21 17:39","2020-01-21 17:57","0:17:55","0.6635915840999224","124.84697486560084","134.31558880544034","0:27:00","2.2213444698816094","121.12899999999995","163.63499999999996",,,"7.222222222222285","100"
"Traditional Strength Training","2020-01-20 17:35","2020-01-20 18:20","0:44:28",,"121.59590793393242","126.52835051546394",,,"322.21300000000014","428.40200000000016",,,"3.888888888888914","90"
"Elliptical","2020-01-20 17:13","2020-01-20 17:35","0:22:31",,"145.32502133376127","151.1697372828635",,,"251.08099999999996","302.04099999999994",,,"3.888888888888914","89"
"Traditional Strength Training","2020-01-18 11:13","2020-01-18 11:47","0:33:57",,"140.22714946425643","146.89490384429905",,,"360.138","448.86400000000003",,,"5.000000000000057","86"
"Indoor Walking","2020-01-18 10:51","2020-01-18 11:13","0:22:20","1.0784588795639574","139.32089562751997","153.67367516662696","0:20:42","2.896745998461364","183.54899999999998","234.19299999999998",,,"4.444444444444457","89"
"Traditional Strength Training","2020-01-17 17:04","2020-01-17 17:34","0:30:09",,"124.10081025872273","132.94400657464803",,,"260.18100000000004","341.29600000000005",,,"4.444444444444457","86"
"Elliptical","2020-01-17 16:41","2020-01-17 17:04","0:22:50",,"151.57031867599747","156.2489978266119",,,"266.565","318.13100000000003",,,"5.000000000000057","84"
"Traditional Strength Training","2020-01-14 18:28","2020-01-14 19:08","0:39:35",,"119.33431665618987","135.5300814532425",,,"315.96000000000004","415.076",,,"7.777777777777828","88"
"Indoor Walking","2020-01-14 18:15","2020-01-14 18:28","0:12:44","0.5363915878136176","127.49215217781091","137.47447681809274","0:23:45","2.5259536587492173","96.761","129.22699999999998",,,"7.777777777777828","89"
"Traditional Strength Training","2020-01-13 17:42","2020-01-13 18:15","0:33:34",,"142.9878174455408","156.10030545422578",,,"353.20300000000003","442.071",,,"7.777777777777828","89"
